Status	Sample Name	Sample Type	Size Standard	Analysis Method	SQI	Offscale	Quality	UD1	UD2	UD3	Dye/Sample Peak	Sample File Name	Size	Height	Area in Point	Area in BP	Data Point	Begin Point	Begin BP	End Point	End BP	Width in Point	Width in BP	User Comments	User Edit
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 1"	A01_A01.fsa		190	1769	0	662	639	-1.0	671	-1.0	8	0.0		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 2"	A01_A01.fsa		78	578	0	699	688	-1.0	702	-1.0	6	0.0		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 3"	A01_A01.fsa		163	1155	0	709	702	-1.0	718	-1.0	6	0.0		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 4"	A01_A01.fsa		154	1006	0	739	729	-1.0	746	-1.0	5	0.0		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 5"	A01_A01.fsa		85	1075	0	775	756	-1.0	781	-1.0	8	0.0		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 6"	A01_A01.fsa		149	1550	0	792	781	-1.0	803	-1.0	9	0.0		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 7"	A01_A01.fsa		108	521	0	820	812	-1.0	829	-1.0	3	0.0		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 8"	A01_A01.fsa		115	540	0	836	829	-1.0	843	-1.0	4	0.0		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 9"	A01_A01.fsa		109	645	54	853	843	-1.0	862	0.6061	5	0.4914		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 10"	A01_A01.fsa	1.8182	166	1087	109	874	862	0.6061	882	2.6263	5	0.5972		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 11"	A01_A01.fsa	3.3333	177	999	100	889	882	2.6263	896	4.0404	5	0.5568		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 12"	A01_A01.fsa	5.1515	50	370	37	907	896	4.0404	910	5.4546	9	0.9259		
Analyzed	A01	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass				"B, 13"	A01_A01.fsa	6.2626	219	1102	111	918	910	5.4546	924	6.8687	5	0.5109		
