well	wt_peak	wt_rel_Area	nonFrameShift	FrameShift	Area_total	N_peaks	InDelSizes	sampleNames	sampleTypes	column	rowNames	Area_total_relativ
A01	TRUE	1	0	0	5398	1	0	BF001	unknown	01	A	0.294940443667359
A02	TRUE	1	0	0	4674	1	0	BF009	unknown	02	A	0.255381925472626
A03	TRUE	1	0	0	13385	1	0	BF017	unknown	03	A	0.731340837066987
A04	TRUE	1	0	0	6006	1	0	BF025	unknown	04	A	0.328160856736969
A05	TRUE	1	0	0	6512	1	0	BF033	unknown	05	A	0.355808108403453
A06	TRUE	1	0	0	11766	1	0	BF040	unknown	06	A	0.642880559501694
A07	TRUE	1	0	0	5660	1	0	BF047	unknown	07	A	0.309255819036171
A08	NA	NA	NA	NA	NA	NA	NA	skip	skip	08	A	NA
A09	TRUE	1	0	0	3654	1	0	BF061	unknown	09	A	0.199650311441373
A10	TRUE	1	0	0	5870	1	0	wt	wt	10	A	0.320729974866135
A11	TRUE	1	0	0	3579	1	0	wt	wt	11	A	0.195552398644957
A12	NA	NA	NA	NA	NA	NA	NA	blank	blank	12	A	NA
B01	FALSE	0	0	1	567	1	4	BF002	unknown	01	B	0.0309802207409026
B02	TRUE	0.962223756906077	0	0.0377762430939227	14480	2	0; 1	BF010	unknown	02	B	0.791170363894656
B03	TRUE	1	0	0	7470	1	0	BF018	unknown	03	B	0.408152114523003
B04	TRUE	1	0	0	13580	1	0	BF026	unknown	04	B	0.741995410337668
B05	FALSE	0	0.219220959888709	0.780779040111291	8626	9	-21; -15; -13; -8; -6; -5; -4; -2; 1	BF034	unknown	05	B	0.47131461042509
B06	FALSE	0	0	1	5026	6	4; 1; -4; -5; -2; -8	BF041	unknown	06	B	0.274614796197137
B07	FALSE	0	0.249448636099826	0.750551363900174	8615	7	-7; -5; -2; -36; -27; -10; 7	BF048	unknown	07	B	0.470713583214949
B08	NA	NA	NA	NA	NA	NA	NA	BF055	unknown	08	B	NA
B09	NA	NA	NA	NA	NA	NA	NA	skip	skip	09	B	NA
B10	TRUE	1	0	0	1351	1	0	wt	wt	10	B	0.073817069172768
B11	TRUE	1	0	0	6086	1	0	wt	wt	11	B	0.332531963719812
B12	NA	NA	NA	NA	NA	NA	NA	blank	blank	12	B	NA
C01	TRUE	1	0	0	2146	1	0	BF003	unknown	01	C	0.117254944814774
C02	TRUE	1	0	0	7083	1	0	BF011	unknown	02	C	0.387006884493498
C03	TRUE	1	0	0	2974	1	0	BF019	unknown	03	C	0.162495902087204
C04	TRUE	1	0	0	3208	1	0	BF027	unknown	04	C	0.175281390012021
C05	NA	NA	NA	NA	NA	NA	NA	skip	skip	05	C	NA
C06	TRUE	1	0	0	6104	1	0	BF042	unknown	06	C	0.333515462790952
C07	TRUE	1	0	0	9077	1	0	BF049	unknown	07	C	0.49595672604087
C08	TRUE	1	0	0	4968	1	0	BF056	unknown	08	C	0.271445743634575
C09	TRUE	1	0	0	4471	1	0	BF062	unknown	09	C	0.244290241503661
C10	TRUE	1	0	0	4411	1	0	wt	wt	10	C	0.241011911266528
C11	TRUE	1	0	0	1739	1	0	wt	wt	11	C	0.0950169380395585
C12	NA	NA	NA	NA	NA	NA	NA	blank	blank	12	C	NA
D01	TRUE	1	0	0	11194	1	0	BF004	unknown	01	D	0.611627144574364
D02	TRUE	1	0	0	13463	1	0	BF012	unknown	02	D	0.73560266637526
D03	TRUE	1	0	0	18302	1	0	BF020	unknown	03	D	1
D04	TRUE	0.959783614492135	0	0.0402163855078653	14049	2	0; 1	BF028	unknown	04	D	0.767621025024588
D05	TRUE	1	0	0	5798	1	0	BF035	unknown	05	D	0.316795978581576
D06	TRUE	1	0	0	2585	1	0	BF043	unknown	06	D	0.141241394383128
D07	TRUE	1	0	0	7992	1	0	BF050	unknown	07	D	0.436673587586056
D08	TRUE	1	0	0	12538	1	0	BF057	unknown	08	D	0.685061741886133
D09	TRUE	1	0	0	5191	1	0	BF063	unknown	09	D	0.283630204349251
D10	TRUE	1	0	0	4359	1	0	wt	wt	10	D	0.23817069172768
D11	TRUE	1	0	0	2426	1	0	wt	wt	11	D	0.132553819254726
D12	NA	NA	NA	NA	NA	NA	NA	blank	blank	12	D	NA
E01	TRUE	1	0	0	11860	1	0	BF005	unknown	01	E	0.648016610206535
E02	TRUE	1	0	0	8979	1	0	BF013	unknown	02	E	0.490602119986887
E03	TRUE	1	0	0	11031	1	0	BF021	unknown	03	E	0.60272101409682
