well	rowNames	column	sampleNames	sampleTypes	Status	Sample.Type	Size.Standard	Analysis.Method	SQI	Offscale	Quality	UD1	UD2	UD3	Dye.Sample.Peak	Sample.File.Name	Size	Height	Area.in.Point	Area.in.BP	Data.Point	Begin.Point	Begin.BP	End.Point	End.BP	Width.in.Point	Width.in.BP	User.Comments	User.Edit	Size.Rounded	passedFilter	ignoredPeak	Area.in.BP.RelToMax	Area.in.BP.RelToSum	Area.in.BP.Sum	WTpeak	Size.Fixed	Size.InDels	Multi3
A01	A	01	BF001	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"Y, 59"	A01_A01.fsa	211.0054	10689	61051	5398	3053	3045	210.2977	3061	211.7127	5	0.4562	NA	NA	211	TRUE	FALSE	1	1	5398	TRUE	211.0465	0	WT
A02	A	02	BF009	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"Y, 55"	A02_A02.fsa	210.9578	8812	52615	4674	3038	3029	210.158	3046	211.6684	5	0.4731	NA	NA	211	TRUE	FALSE	1	1	4674	TRUE	210.9989	0	WT
A03	A	03	BF017	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"Y, 57"	A03_A03.fsa	210.9251	24910	150027	13385	3019	3011	210.2111	3028	211.7279	5	0.4843	NA	NA	211	TRUE	FALSE	1	1	13385	TRUE	210.9662	0	WT
A04	A	04	BF025	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"Y, 46"	A04_A04.fsa	210.9194	11706	67314	6006	3005	2997	210.2054	3013	211.6331	5	0.4612	NA	NA	211	TRUE	FALSE	1	1	6006	TRUE	210.9605	0	WT
A05	A	05	BF033	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"Y, 59"	A05_A05.fsa	210.9634	11965	73305	6512	3046	3037	210.1638	3054	211.6739	5	0.4873	NA	NA	211	TRUE	FALSE	1	1	6512	TRUE	211.0045	0	WT
A06	A	06	BF040	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"Y, 45"	A06_A06.fsa	210.8767	21995	131263	11766	2999	2991	210.1594	3008	211.6833	5	0.4768	NA	NA	211	TRUE	FALSE	1	1	11766	TRUE	210.9178	0	WT
A07	A	07	BF047	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"Y, 42"	A07_A07.fsa	210.9731	10784	63738	5660	3030	3021	210.1736	3038	211.6834	5	0.4685	NA	NA	211	TRUE	FALSE	1	1	5660	TRUE	211.0142	0	WT
A09	A	09	BF061	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"Y, 45"	A09_A09.fsa	210.9112	6962	41322	3654	3042	3034	210.2035	3050	211.6187	5	0.4723	NA	NA	211	TRUE	FALSE	1	1	3654	TRUE	210.9523	0	WT
A10	A	10	wt	wt	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"Y, 47"	A10_A10.fsa	210.9112	11309	66370	5870	3031	3023	210.2035	3039	211.6187	5	0.4696	NA	NA	211	TRUE	FALSE	1	1	5870	TRUE	210.9523	0	WT
A11	A	11	wt	wt	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"Y, 59"	A11_A11.fsa	210.9549	6819	40653	3579	3083	3075	210.2504	3091	211.6592	5	0.4695	NA	NA	211	TRUE	FALSE	1	1	3579	TRUE	210.996	0	WT
