well	rowNames	column	sampleNames	sampleTypes	Status	Sample.Type	Size.Standard	Analysis.Method	SQI	Offscale	Quality	UD1	UD2	UD3	Dye.Sample.Peak	Sample.File.Name	Size	Height	Area.in.Point	Area.in.BP	Data.Point	Begin.Point	Begin.BP	End.Point	End.BP	Width.in.Point	Width.in.BP	User.Comments	User.Edit	Size.Rounded	passedFilter	ignoredPeak	Area.in.BP.RelToMax	Area.in.BP.RelToSum	Area.in.BP.Sum	WTpeak	Size.Fixed	Size.InDels	Multi3
A01	A	01	BF001	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 97"	A01_A01.fsa	299.2973	244	1611	141	4053	4044	298.5069	4064	300.2621	5	0.5053	NA	NA	300	TRUE	FALSE	0.0363589479112945	0.0350833540681762	4019	FALSE	299.5455	-3	in-frame
A01	A	01	BF001	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 100"	A01_A01.fsa	302.7956	7290	44401	3878	4093	4085	302.0968	4102	303.5819	5	0.4802	NA	NA	303	TRUE	FALSE	1	0.964916645931824	4019	TRUE	303.0438	0	WT
A02	A	02	BF009	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"B, 129"	A02_A02.fsa	302.721	5621	32650	2867	4073	4065	302.0185	4081	303.4237	5	0.4661	NA	NA	303	TRUE	FALSE	1	1	2867	TRUE	302.9692	0	WT
A03	A	03	BF017	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 103"	A03_A03.fsa	298.5823	222	1375	121	4003	3994	297.7851	4013	299.4683	5	0.5114	NA	NA	299	TRUE	FALSE	0.00931199014929968	0.00922607701105604	13115	FALSE	298.8305	-4	frameshift
A03	A	03	BF017	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 105"	A03_A03.fsa	302.7322	23499	147443	12994	4050	4041	301.939	4059	303.5253	5	0.5016	NA	NA	303	TRUE	FALSE	1	0.990773922988944	13115	TRUE	302.9804	0	WT
A04	A	04	BF025	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 121"	A04_A04.fsa	304.2654	256	2380	211	4050	4041	303.4656	4057	304.8875	10	0.9231	NA	NA	305	TRUE	FALSE	0.0346071838609152	0.0334495878249841	6308	FALSE	304.5136	2	frameshift
A04	A	04	BF025	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 120"	A04_A04.fsa	302.7547	11156	68620	6097	4033	4024	301.9549	4041	303.4656	5	0.4927	NA	NA	303	TRUE	FALSE	1	0.966550412175016	6308	TRUE	303.0029	0	WT
A05	A	05	BF033	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"B, 89"	A05_A05.fsa	297.3628	265	2897	254	4021	4012	296.5724	4042	299.2084	10	0.939	NA	NA	298	TRUE	FALSE	0.0453409496608354	0.0433743169398907	5856	FALSE	297.611	-5	frameshift
A05	A	05	BF033	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"B, 91"	A05_A05.fsa	302.7304	9660	63604	5602	4082	4073	301.9377	4091	303.5232	5	0.5193	NA	NA	303	TRUE	FALSE	1	0.956625683060109	5856	TRUE	302.9786	0	WT
A06	A	06	BF040	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 110"	A06_A06.fsa	302.7407	21277	132027	11674	4026	4017	301.945	4034	303.4482	5	0.4927	NA	NA	303	TRUE	FALSE	1	1	11674	TRUE	302.9889	0	WT
A07	A	07	BF047	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 103"	A07_A07.fsa	302.823	12498	79150	6980	4063	4054	302.0291	4071	303.5285	5	0.5107	NA	NA	303	TRUE	FALSE	1	1	6980	TRUE	303.0712	0	WT
A09	A	09	BF061	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 103"	A09_A09.fsa	302.807	7356	46401	4070	4080	4071	302.0175	4088	303.5088	5	0.5034	NA	NA	303	TRUE	FALSE	1	1	4070	TRUE	303.0552	0	WT
A10	A	10	wt	wt	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 102"	A10_A10.fsa	300.7905	157	947	83	4046	4037	300	4048	300.9662	3	0.3171	NA	NA	301	TRUE	FALSE	0.0137303556658395	0.0132460900095755	6266	FALSE	301.0387	-2	frameshift
A10	A	10	wt	wt	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 104"	A10_A10.fsa	302.7236	11462	68781	6045	4068	4059	301.9326	4076	303.4269	5	0.4734	NA	NA	303	TRUE	FALSE	1	0.964730290456432	6266	TRUE	302.9718	0	WT
A10	A	10	wt	wt	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 105"	A10_A10.fsa	303.6027	262	1571	138	4078	4076	303.4269	4087	304.3941	4	0.3517	NA	NA	304	TRUE	FALSE	0.0228287841191067	0.022023619533993	6266	FALSE	303.8509	1	frameshift
A11	A	11	wt	wt	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"B, 130"	A11_A11.fsa	302.7783	5630	34552	3000	4132	4123	301.9968	4140	303.4731	5	0.4851	NA	NA	303	TRUE	FALSE	1	0.960307298335467	3124	TRUE	303.0265	0	WT
A11	A	11	wt	wt	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"B, 134"	A11_A11.fsa	340.3448	223	1443	124	4565	4556	339.568	4571	340.8621	5	0.4993	NA	NA	341	TRUE	FALSE	0.0413333333333333	0.0396927016645326	3124	FALSE	340.593	38	frameshift
B01	B	01	BF002	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 95"	B01_B01.fsa	299.4726	218	1379	121	4053	4044	298.6817	4062	300.2632	5	0.4978	NA	NA	300	TRUE	FALSE	0.0815363881401617	0.0753894080996885	1605	FALSE	299.7208	-3	in-frame
B01	B	01	BF002	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 97"	B01_B01.fsa	302.807	2673	16919	1484	4091	4082	302.0175	4099	303.5088	5	0.4862	NA	NA	303	TRUE	FALSE	1	0.924610591900311	1605	TRUE	303.0552	0	WT
B02	B	02	BF010	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 119"	B02_B02.fsa	302.7348	20389	125172	11040	4053	4045	302.0291	4062	303.5285	5	0.4948	NA	NA	303	TRUE	FALSE	1	1	11040	TRUE	302.983	0	WT
B03	B	03	BF018	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 109"	B03_B03.fsa	300.0885	171	848	75	4003	3995	299.3793	4013	300.9735	4	0.3957	NA	NA	300	TRUE	FALSE	0.0106624964458345	0.010550007033338	7109	FALSE	300.3367	-3	in-frame
B03	B	03	BF018	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 111"	B03_B03.fsa	302.7434	12897	79493	7034	4033	4024	301.9469	4041	303.4513	5	0.4943	NA	NA	303	TRUE	FALSE	1	0.989449992966662	7109	TRUE	302.9916	0	WT
B04	B	04	BF026	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 118"	B04_B04.fsa	302.6743	20208	124448	11096	4003	3995	301.961	4012	303.4769	5	0.4974	NA	NA	303	TRUE	FALSE	1	0.988155668358714	11229	TRUE	302.9225	0	WT
B04	B	04	BF026	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 120"	B04_B04.fsa	306.8667	280	1493	133	4050	4041	306.0636	4057	307.4914	5	0.4773	NA	NA	307	TRUE	FALSE	0.011986301369863	0.011844331641286	11229	FALSE	307.1149	4	frameshift
B05	B	05	BF034	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 116"	B05_B05.fsa	296.724	1153	7255	642	3952	3943	295.9274	3960	297.4322	5	0.496	NA	NA	297	TRUE	FALSE	0.069322967282151	0.0648288397455317	9903	FALSE	296.9722	-6	in-frame
B05	B	05	BF034	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 119"	B05_B05.fsa	302.6633	16592	104301	9261	4019	4010	301.8642	4028	303.4624	5	0.4977	NA	NA	303	TRUE	FALSE	1	0.935171160254468	9903	TRUE	302.9115	0	WT
B06	B	06	BF041	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"B, 125"	B06_B06.fsa	302.7547	15962	100133	8898	4021	4012	301.9549	4029	303.4656	5	0.4972	NA	NA	303	TRUE	FALSE	1	1	8898	TRUE	303.0029	0	WT
B07	B	07	BF048	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 121"	B07_B07.fsa	302.6591	15084	98629	8745	4025	4016	301.8611	4034	303.4573	5	0.5158	NA	NA	303	TRUE	FALSE	1	0.931409095750346	9389	TRUE	302.9073	0	WT
B07	B	07	BF048	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 117"	B07_B07.fsa	257.0762	1207	7268	644	3509	3500	256.2775	3517	257.7857	5	0.4823	NA	NA	257	TRUE	FALSE	0.073642081189251	0.0685909042496538	9389	FALSE	257.3244	-46	frameshift
B08	B	08	BF055	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"B, 95"	B08_B08.fsa	302.7407	785	5757	509	4030	4021	301.945	4039	303.5366	6	0.5467	NA	NA	303	TRUE	FALSE	1	1	509	TRUE	302.9889	0	WT
B10	B	10	wt	wt	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 77"	B10_B10.fsa	302.807	1596	10442	915	4077	4068	302.0175	4085	303.5088	5	0.5114	NA	NA	303	TRUE	FALSE	1	1	915	TRUE	303.0552	0	WT
B11	B	11	wt	wt	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 106"	B11_B11.fsa	302.7697	9476	61170	5294	4151	4142	301.9907	4160	303.5487	5	0.5005	NA	NA	303	TRUE	FALSE	1	1	5294	TRUE	303.0179	0	WT
C01	C	01	BF003	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 98"	C01_C01.fsa	292.8026	193	1082	94	3984	3976	292.1017	3992	293.5038	5	0.4683	NA	NA	293	TRUE	FALSE	0.0761750405186386	0.0707831325301205	1328	FALSE	293.0508	-10	frameshift
C01	C	01	BF003	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 101"	C01_C01.fsa	302.807	2295	14075	1234	4098	4090	302.1053	4106	303.5088	5	0.4851	NA	NA	303	TRUE	FALSE	1	0.92921686746988	1328	TRUE	303.0552	0	WT
C02	C	02	BF011	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"B, 124"	C02_C02.fsa	302.8044	10095	61341	5376	4085	4076	302.0156	4093	303.5056	5	0.4865	NA	NA	303	TRUE	FALSE	1	0.974972796517954	5514	TRUE	303.0526	0	WT
C02	C	02	BF011	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Check	Pass	NA	NA	NA	"B, 125"	C02_C02.fsa	303.7686	223	1582	138	4096	4093	303.5056	4105	304.5575	4	0.3506	NA	NA	304	TRUE	FALSE	0.0256696428571429	0.0250272034820457	5514	FALSE	304.0168	1	frameshift
C03	C	03	BF019	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 99"	C03_C03.fsa	295.9274	161	1046	92	3946	3939	295.3079	3954	296.6355	5	0.5019	NA	NA	296	TRUE	FALSE	0.0448999511957052	0.0429705744978982	2141	FALSE	296.1756	-7	frameshift
C03	C	03	BF019	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 102"	C03_C03.fsa	302.7521	3745	23079	2049	4023	4014	301.953	4031	303.4624	5	0.4959	NA	NA	303	TRUE	FALSE	1	0.957029425502102	2141	TRUE	303.0003	0	WT
C04	C	04	BF027	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 108"	C04_C04.fsa	302.6786	4973	32447	2897	4000	3992	301.9643	4009	303.4821	5	0.528	NA	NA	303	TRUE	FALSE	1	1	2897	TRUE	302.9268	0	WT
C06	C	06	BF042	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 101"	C06_C06.fsa	305.8036	254	1638	146	4020	4012	305.0893	4030	306.6964	5	0.4825	NA	NA	306	TRUE	FALSE	0.0244474212993972	0.0238640078457012	6118	FALSE	306.0518	3	in-frame
C06	C	06	BF042	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 100"	C06_C06.fsa	302.6786	10781	66894	5972	3985	3977	301.9643	3994	303.4821	5	0.501	NA	NA	303	TRUE	FALSE	1	0.976135992154299	6118	TRUE	302.9268	0	WT
C07	C	07	BF049	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 101"	C07_C07.fsa	302.7591	14829	96077	8549	4007	3998	301.9582	4016	303.5599	5	0.5213	NA	NA	303	TRUE	FALSE	1	1	8549	TRUE	303.0073	0	WT
C08	C	08	BF056	unknown	Analyzed	Sample	GS400HD	Sizing Default - PP	false	Pass	Pass	NA	NA	NA	"B, 100"	C08_C08.fsa	302.7407	8423	51665	4568	4034	4026	302.0334	4042	303.4482	5	0.4872	NA	NA	303	TRUE	FALSE	1	1	4568	TRUE	302.9889	0	WT
